SEASON_YEAR,CONFERENCE,TOTAL_WINS,AVG_WIN_PCT
2002,East,575,0.4674666666666667
2002,West,614,0.5348571428571428
2003,East,559,0.4544
2003,West,630,0.5487142857142857
2004,East,584,0.47486666666666666
2004,West,646,0.5253333333333333
2005,East,641,0.4725666666666667
2005,West,703,0.5271333333333333
2006,East,641,0.4872333333333333
2006,West,709,0.5314000000000001
2007,East,633,0.4922333333333333
2007,West,701,0.5263
2008,East,674,0.4852333333333333
2008,West,670,0.5315333333333333
2009,East,654,0.501
2009,West,695,0.5121333333333333
2010,East,636,0.48483333333333334
2010,West,711,0.5229666666666667
2011,East,488,0.4727
2011,West,532,0.5272
2012,East,630,0.48033333333333333
2012,West,713,0.5387666666666666
2013,East,608,0.4548
2013,West,736,0.5543666666666667
2014,East,637,0.5038
2014,West,710,0.5184666666666666
2015,East,667,0.5200666666666667
2015,West,671,0.49766666666666665
2016,East,642,0.48033333333333333
2016,West,689,0.5272
2017,East,639,0.4935
2017,West,669,0.5404
2018,East,627,0.5173666666666666
2018,West,682,0.5303666666666667
2019,East,527,0.42443333333333333
2019,West,578,0.5271666666666667
2020,East,546,0.48383333333333334
2020,West,583,0.5217666666666666
2021,East,650,0.5098
2021,West,646,0.4929
2022,East,268,0.4874333333333334
2022,West,279,0.5277333333333334
