SEASON,GAMES_PLAYED,TOTAL_POINTS,AVG_POINTS_PER_GAME,YOY_CHANGE
2003,1385,239196.0,186.0,
2004,1362,264210.0,193.98678414096915,7.986784140969149
2005,1432,277205.0,193.57891061452514,-0.407873526444007
2006,1419,279250.0,196.7935165609584,3.2146059464332666
2007,1411,280539.0,198.82282069454288,2.029304133584475
2008,1425,283328.0,198.82666666666665,0.003845972123770025
2009,1424,285370.0,200.40028089887642,1.5736142322097635
2010,1422,281757.0,198.14135021097047,-2.258930687905945
2011,1104,211771.0,191.8215579710145,-6.319792239955973
2012,1420,277604.0,195.49577464788732,3.674216676872817
2013,1427,286822.0,200.99649614576035,5.50072149787303
2014,1418,283473.0,199.91043723554301,-1.0860589102173321
2015,1416,289540.0,204.4774011299435,4.566963894400487
2016,1405,296064.0,210.7217081850534,6.244307055109886
2017,1382,293185.0,212.14544138929088,1.423733204237493
2018,1378,305733.0,221.86719883889694,9.72175744960606
2019,1241,276422.0,222.74133763094278,0.8741387920458408
2020,1220,279293.0,223.613290632506,0.8719530015632131
2021,1389,306156.0,220.414686825054,-3.1986038074520025
2022,542,122233.0,225.52214022140222,5.107453396348234
